id,Chinese,PinYin,English,Source,LessonName,LessonId,WordType,Category
368,不错,bu2 cuo4,nice / not bad / correct,HSK 2,Week04_Lesson03,45,adjective,
369,玩儿,wan2 er5,to play,HSK 2,Week04_Lesson03,45,verb,
370,几天,ji3 tian1,several days,HSK 2,Week04_Lesson03,45,number,
371,天,tian1,day,HSK 2,Week04_Lesson03,45,noun,
372,个个,ge4 ge4,all,HSK 2,Week04_Lesson03,45,mw,
373,票,piao4,ticket,HSK 2,Week04_Lesson04,46,noun,
374,张,zhang1,MW: piece of paper/photo/table,HSK 2,Week04_Lesson04,46,mw,
375,长,chang2,long,HSK 2,Week04_Lesson04,46,adjective,
376,旅游,lv3 you2,to travel,HSK 2,Week04_Lesson04,46,verb,
377,听说,ting1 shuo1,to hear of / to hear about,HSK 2,Week04_Lesson04,46,verb,
378,介绍,jie4 shao4,to introduce,HSK 2,Week04_Lesson04,46,verb,
379,去年,qu4 nian2,last year,HSK 2,Week04_Lesson04,46,noun,
380,新,xin1,new,HSK 2,Week05_Lesson01,47,adjective,
381,颜色,yan2 se4,color,HSK 2,Week05_Lesson01,47,noun,
382,黑,hei1,black,HSK 2,Week05_Lesson01,47,adjective,
383,手表,shou3 biao3,watch,HSK 2,Week05_Lesson01,47,noun,
384,送,song4,to give (as a present),HSK 2,Week05_Lesson01,47,verb,
385,生病,sheng1 bing4,to fall ill / to be sick,HSK 2,Week05_Lesson02,48,verb,
386,头疼,tou2 teng2,to have a headache,HSK 2,Week05_Lesson02,48,verb,
387,上课,shang4 ke4,to go to class,HSK 2,Week05_Lesson02,48,verb,
388,早,zao3,early,HSK 2,Week05_Lesson02,48,adjective,
389,让,rang4,to ask,HSK 2,Week05_Lesson02,48,verb,
390,药,yao4,medicine,HSK 2,Week05_Lesson02,48,verb,
391,忘,wang4,to forget,HSK 2,Week05_Lesson02,48,verb,
392,进,jin4,to enter,HSK 2,Week05_Lesson03,49,verb,
393,茶馆,cha2 guanr3,tea house,HSK 2,Week05_Lesson03,49,noun,
394,洗,xi3,to wash / to clean,HSK 2,Week05_Lesson03,49,verb,
395,身体,shen1 ti3,body,HSK 2,Week05_Lesson03,49,noun,
396,肉,rou4,meat,HSK 2,Week05_Lesson03,49,noun,
397,羊肉,yang2 rou4,mutton,HSK 2,Week05_Lesson03,49,noun,
398,鸡肉,ji1 rou4,chicken,HSK 2,Week05_Lesson03,49,noun,
399,鱼,yu2,fish,HSK 2,Week05_Lesson03,49,noun,
400,从,cong2,from (prep.),HSK 2,Week05_Lesson03,49,preposition,
401,为什么,wei4 shen2 me5,why?,HSK 2,Week05_Lesson04,50,other,
402,得,de5,(part.) Complement of Degree,HSK 2,Week05_Lesson04,50,particle,
403,汉字,han4 zi4,Chinese character,HSK 2,Week05_Lesson04,50,noun,
404,错,cuo4,wrong,HSK 2,Week05_Lesson04,50,adjective,
405,意思,yi4 si5,meaning,HSK 2,Week05_Lesson04,50,noun,
406,快,kuai4,fast,HSK 2,Week05_Lesson04,50,adjective,
407,慢,man4,slow,HSK 2,Week05_Lesson04,50,adjective,
408,日,ri4,date (day),HSK 2,Week06_Lesson01,51,noun,
409,毛,mao2,hair,HSK 2,Week06_Lesson01,51,noun,
410,白,bai2,white,HSK 2,Week06_Lesson01,51,adjective,
411,非常,fei1 chang2,very,HSK 2,Week06_Lesson01,51,adverb,
412,它,ta1,it,HSK 2,Week06_Lesson01,51,pronoun,
413,旅行,lv3 xing2,to travel,HSK 2,Week06_Lesson02,52,verb,
414,地方,di4 fang5,place,HSK 2,Week06_Lesson02,52,noun,
415,因为...所以...,yin1 wei4...suo3 yi3…,"Because of …, so …",HSK 2,Week06_Lesson02,52,other,
416,虽然...但是...,sui1 ran2...dan4 shi4…,"Although …, ….",HSK 2,Week06_Lesson02,52,other,
417,开心,kai1 xin1,happy / joyful,HSK 2,Week06_Lesson02,52,adjective,
418,打球,da3 qiu2,to play tennis/basketball/badminton,HSK 2,Week06_Lesson02,52,verb,
419,散步,san4 bu4,to go for a walk,HSK 2,Week06_Lesson02,52,verb,
420,生活,sheng1 huo2,to live / life,HSK 2,Week06_Lesson03,53,v/n,
421,回国,hui2 guo2,to go back (to ones country),HSK 2,Week06_Lesson03,53,verb,
422,机场,ji1 chang3,airport,HSK 2,Week06_Lesson03,53,noun,
423,进步,jin4 bu4,to make progress / progress,HSK 2,Week06_Lesson03,53,v/n,
424,交朋友,jiao1 peng2 you5,to make friends,HSK 2,Week06_Lesson03,53,verb,
425,西部,xi1 bu4,the west region,HSK 2,Week06_Lesson03,53,noun,
426,一边,yi4 bian1,at the same time / simultaneously,HSK 3,Week01_Lesson01,54,adverb,
427,音乐,yin1 yue4,music,HSK 3,Week01_Lesson01,54,noun,
428,认真,ren4 zhen1,conscientious / serious,HSK 3,Week01_Lesson01,54,adjective,
429,啊,a1,(part.) at end of sentence for admiration,HSK 3,Week01_Lesson01,54,particle,
430,当然,dang1 ran2,of course / doubtless,HSK 3,Week01_Lesson01,54,adverb,
431,记得,ji4 de5,to remember,HSK 3,Week01_Lesson01,54,verb,
432,以前,yi3 qian2,in the past / before,HSK 3,Week01_Lesson01,54,noun,
433,爱好,ai4 hao4,hobby,HSK 3,Week01_Lesson01,54,noun,
434,游戏,you2 xi4,game,HSK 3,Week01_Lesson01,54,noun,
435,跟,gen1,with,HSK 3,Week01_Lesson01,54,preposition,
436,一样,yi2 yang4,same,HSK 3,Week01_Lesson01,54,adjective,
437,照片,zhao4 pian4,photo,HSK 3,Week01_Lesson02,55,noun,
438,附近,fu4 jin4,nearby,HSK 3,Week01_Lesson02,55,noun,
439,公园,gong1 yuan2,park,HSK 3,Week01_Lesson02,55,noun,
440,水平,shui3 ping2,standard,HSK 3,Week01_Lesson02,55,noun,
441,经常,jing1 chang2,often,HSK 3,Week01_Lesson02,55,adverb,
442,总是,zong3 shi4,always,HSK 3,Week01_Lesson02,55,adverb,
443,带,dai4,to bring,HSK 3,Week01_Lesson02,55,verb,
444,照相机,zhao4 xiang4 ji1,camera,HSK 3,Week01_Lesson02,55,noun,
445,打算,da3 suan4,to plan / plan,HSK 3,Week01_Lesson03,56,v/n,
446,爷爷,ye2 ye5,grandfather,HSK 3,Week01_Lesson03,56,noun,
447,爬山,pa2 shan1,to climb mountains,HSK 3,Week01_Lesson03,56,verb,
448,必须,bi4 xu1,have to,HSK 3,Week01_Lesson03,56,adverb,
449,参加,can1 jia1,to participate,HSK 3,Week01_Lesson03,56,verb,
450,会议,hui4 yi4,meeting,HSK 3,Week01_Lesson03,56,noun,
451,刮风,gua1 feng1,to blow (wind),HSK 3,Week01_Lesson03,56,verb,
452,小心,xiao3 xin1,to be careful / careful,HSK 3,Week01_Lesson03,56,verb,
453,如果,ru2 guo3,if / in case,HSK 3,Week01_Lesson03,56,other,
454,一般,yi4 ban1,usually / generally,HSK 3,Week01_Lesson04,57,adverb,
455,环境,huan2 jing4,environment,HSK 3,Week01_Lesson04,57,noun,
456,又... 又...,you4... you4… ,both... and... ,HSK 3,Week01_Lesson04,57,other,
457,越... 越...,yue4... yue4... ,the more... the more... ,HSK 3,Week01_Lesson04,57,other,
458,有名,you3 ming2,famous,HSK 3,Week01_Lesson04,57,adjective,
459,一定,yi2 ding4,must / definite,HSK 3,Week01_Lesson04,57,adverb,
460,认为,ren4 wei2,to think,HSK 3,Week01_Lesson04,57,verb,
461,季节,ji4 jie2,season,HSK 3,Week01_Lesson04,57,noun,
462,重要,zhong4 yao4,important,HSK 3,Week01_Lesson04,57,adjective,
463,冬天,dong1 tian1,winter,HSK 3,Week01_Lesson04,57,noun,
464,北方,bei3 fang1,northern part of country,HSK 3,Week01_Lesson04,57,noun,
465,最近,zui4 jin4,in recent times,HSK 3,Week01_Lesson05,58,noun,
466,瘦,shou4,thin,HSK 3,Week01_Lesson05,58,adjective,
467,锻炼,duan4 lian4,to exercise (physical),HSK 3,Week01_Lesson05,58,verb,
468,段,duan4,"MW: part, segment",HSK 3,Week01_Lesson05,58,mw,
469,几乎,ji1 hu1,almost,HSK 3,Week01_Lesson05,58,adverb,
470,练习,lian4 xi2,to practice / exercises,HSK 3,Week01_Lesson05,58,v/n,
471,感兴趣,gan3 xing4 qu4,to be interested in something,HSK 3,Week01_Lesson05,58,phrase,
472,特别,te4 bie2,especially,HSK 3,Week01_Lesson05,58,adverb,
473,比赛,bi3 sai4,competition,HSK 3,Week01_Lesson05,58,noun,
474,"除了... ,还... ","chu2 le5..., hai2… ",besides,HSK 3,Week01_Lesson05,58,other,
475,体育,ti3 yu4,sports,HSK 3,Week01_Lesson05,58,noun,
476,灯,deng1,light / lamp,HSK 3,Week02_Lesson01,59,noun,
477,像,xiang4,to look like / to be similar with,HSK 3,Week02_Lesson01,59,verb,
478,月亮,yue4 liang5,moon,HSK 3,Week02_Lesson01,59,noun,
479,万,wan4,ten thousand,HSK 3,Week02_Lesson01,59,number,
480,元 / 角 / 分,yuan2 / jiao3 / fen1,mw: money,HSK 3,Week02_Lesson01,59,mw,
481,放,fang4,to place,HSK 3,Week02_Lesson01,59,verb,
482,结婚,jie2 hun1,to get married,HSK 3,Week02_Lesson01,59,verb,
483,为,wei4,for,HSK 3,Week02_Lesson01,59,preposition,
484,礼物,li3 wu4,present / gift,HSK 3,Week02_Lesson01,59,noun,
485,又,you4,again,HSK 3,Week02_Lesson01,59,adverb,
486,关系,guan1 xi4,relationship,HSK 3,Week02_Lesson01,59,noun,
487,过,guo4,to spend (celebrate a festival / bday),HSK 3,Week02_Lesson01,59,verb,
488,节日,jie2 ri4,festival,HSK 3,Week02_Lesson02,60,noun,
489,春节,chun1 jie2,Spring festival,HSK 3,Week02_Lesson02,60,noun,
490,选择,xuan3 ze2,to choose,HSK 3,Week02_Lesson02,60,verb,
491,难,nan2,difficult / hard,HSK 3,Week02_Lesson02,60,adjective,
492,了解,liao2 jie3,to understand,HSK 3,Week02_Lesson02,60,verb,
493,容易,rong2 yi4,easy,HSK 3,Week02_Lesson02,60,adjective,
494,根据,gen1 ju4,on the basis of / basis,HSK 3,Week02_Lesson02,60,preposition,
495,声音,sheng1 yin1,sound,HSK 3,Week02_Lesson03,61,noun,
496,应该,ying1 gai1,should / ought to,HSK 3,Week02_Lesson03,61,adverb,
497,感冒,gan3 mao4,to catch a cold,HSK 3,Week02_Lesson03,61,verb,
498,耳朵,er3 duo5,ears,HSK 3,Week02_Lesson03,61,noun,
499,疼,teng2,painful,HSK 3,Week02_Lesson03,61,adjective,
500,发烧,fa1 shao1,to get a fever,HSK 3,Week02_Lesson03,61,verb,
501,一会儿,yi2 huir4,a little while / in a moment,HSK 3,Week02_Lesson03,61,number,
502,检查,jian3 cha2,to check,HSK 3,Week02_Lesson03,61,verb,
503,担心,dan1 xin1,to worry,HSK 3,Week02_Lesson03,61,verb,
504,秋季,qiu1 ji4,autumn,HSK 3,Week02_Lesson03,61,noun,
505,变化,bian4 hua4,to change / change,HSK 3,Week02_Lesson03,61,v/n,
506,注意,zhu4 yi4,to pay attention / to notice,HSK 3,Week02_Lesson03,61,verb,
507,健康,jian4 kang1,healthy,HSK 3,Week02_Lesson03,61,adjective,
508,腿,tui3,leg,HSK 3,Week02_Lesson04,62,adjective,
509,发,fa1,to send,HSK 3,Week02_Lesson04,62,verb,
510,电子邮件,dian4 zi3 you2 jian4,E-mail,HSK 3,Week02_Lesson04,62,noun,
511,向,xiang4,to / towards,HSK 3,Week02_Lesson04,62,preposition,
512,经理,jing1 li3,manager,HSK 3,Week02_Lesson04,62,noun,
513,请假,qing3 jia4,to be absent / to take days off,HSK 3,Week02_Lesson04,62,verb,
514,帮忙,bang1 mang2,to help,HSK 3,Week02_Lesson04,62,verb,
515,超市,chao1 shi4,supermarket,HSK 3,Week02_Lesson04,62,noun,
516,瓶,ping2,mw: bottle,HSK 3,Week02_Lesson04,62,mw,
517,饮料,yin3 liao4,soft drink,HSK 3,Week02_Lesson04,62,noun,
518,哭,ku1,to cry,HSK 3,Week02_Lesson05,63,verb,
519,遇到,yu4 dao4,to encounter,HSK 3,Week02_Lesson05,63,verb,
520,短,duan3,short,HSK 3,Week02_Lesson05,63,adjective,
521,完成,wan2 cheng2,to complete,HSK 3,Week02_Lesson05,63,verb,
522,难过,nan2 guo4,sad,HSK 3,Week02_Lesson05,63,adjective,
523,努力,nu3 li4,hard-working,HSK 3,Week02_Lesson05,63,adjective,
524,提高,ti2 gao1,to improve,HSK 3,Week02_Lesson05,63,verb,
525,成绩,cheng2 ji4,score,HSK 3,Week02_Lesson05,63,noun,
526,试,shi4,to try,HSK 3,Week02_Lesson05,63,verb,
527,只有...才...,zhi3 you3 ... cai2 ... ,only if ... will ... ,HSK 3,Week02_Lesson05,63,other,
528,节目,jie2 mu4,program / show,HSK 3,Week03_Lesson01,64,noun,
529,新闻,xin1 wen2,news,HSK 3,Week03_Lesson01,64,noun,
530,愿意,yuan4 yi4,to be willing to,HSK 3,Week03_Lesson01,64,verb,
531,其实,qi2 shi2,actually / in fact,HSK 3,Week03_Lesson01,64,adverb,
532,世界杯,shi4 jie4 bei1,world cup,HSK 3,Week03_Lesson01,64,noun,
533,结束,jie2 shu4,to end,HSK 3,Week03_Lesson01,64,verb,
534,或者,huo4 zhe3,or,HSK 3,Week03_Lesson01,64,conjunction,
535,先,xian1,first,HSK 3,Week03_Lesson01,64,first,
536,然后,ran2 hou4,then,HSK 3,Week03_Lesson01,64,conjunction,
537,同事,tong2 shi4,colleague,HSK 3,Week03_Lesson02,65,noun,
538,见面,jian4 mian4,to meet,HSK 3,Week03_Lesson02,65,verb,
539,图书馆,tu2 shu1 guan3,library,HSK 3,Week03_Lesson02,65,noun,
540,复习,fu4 xi2,to review,HSK 3,Week03_Lesson02,65,verb,
541,迟到,chi2 dao4,to be late,HSK 3,Week03_Lesson02,65,verb,
542,骑,qi2,to ride,HSK 3,Week03_Lesson02,65,verb,
543,种,zhong3,mw: certain type of thing,HSK 3,Week03_Lesson02,65,mw,
544,自行车,zi4 xing2 che1,bicycle,HSK 3,Week03_Lesson02,65,noun,
545,更,geng4,more,HSK 3,Week03_Lesson02,65,adverb,
546,行李箱,xing2 li5 xiang1,baggage,HSK 3,Week03_Lesson03,66,noun,
547,决定,jue2 ding4,to decide / decision,HSK 3,Week03_Lesson03,66,v/n,
548,四川,Si4 chuan1,Sichuan province,HSK 3,Week03_Lesson03,66,noun,
549,熊猫,xiong2 mao1,panda,HSK 3,Week03_Lesson03,66,noun,
550,动物,dong4 wu4,animal,HSK 3,Week03_Lesson03,66,noun,
551,太阳,tai4 yang5,sun,HSK 3,Week03_Lesson03,66,noun,
552,突然,tu1 ran2,sudden / suddenly,HSK 3,Week03_Lesson03,66,adverb,
553,伞,san3,umbrella,HSK 3,Week03_Lesson03,66,noun,
554,南方,nan2 fang1,south,HSK 3,Week03_Lesson03,66,noun,
555,简单,jian3 dan1,simple,HSK 3,Week03_Lesson03,66,adjective,
556,只,zhi3,only,HSK 3,Week03_Lesson03,66,adverb,
557,包,bao1,bag,HSK 3,Week03_Lesson03,66,noun,
558,校长,xiao4 zhang3,principal,HSK 3,Week03_Lesson04,67,noun,
559,办公室,ban4 gong1 shi4,office,HSK 3,Week03_Lesson04,67,noun,
560,地图,di4 tu2,map,HSK 3,Week03_Lesson04,67,noun,
561,发现,fa1 xian4,to find / realize / discover,HSK 3,Week03_Lesson04,67,verb,
562,地铁,di4 tie3,subway,HSK 3,Week03_Lesson04,67,noun,
563,方便,fang1 bian4,convenient,HSK 3,Week03_Lesson04,67,adjective,
564,站,zhan4,to stand,HSK 3,Week03_Lesson04,67,verb,
565,东北边,dong1 bei3 bian5,north east,HSK 3,Week03_Lesson04,67,noun,
566,中间,zhong1 jian1,in the middle of,HSK 3,Week03_Lesson04,67,noun,
567,银行,yin2 hang2,bank,HSK 3,Week03_Lesson05,68,noun,
568,关,guan1,to close / to turn off,HSK 3,Week03_Lesson05,68,verb,
569,米,mi3,MW: meter,HSK 3,Week03_Lesson05,68,mw,
570,街道,jie1 dao4,street,HSK 3,Week03_Lesson05,68,noun,
571,西边,xi1 bian5,west,HSK 3,Week03_Lesson05,68,noun,
572,换,huan4,to change,HSK 3,Week03_Lesson05,68,verb,
573,国家,guo2 jia1,country,HSK 3,Week03_Lesson05,68,noun,
574,一直,yi4 zhi2,(go) straight // all the time / always,HSK 3,Week03_Lesson05,68,adverb,
575,双,shuang1,MW: pair,HSK 3,Week04_Lesson01,69,mw,
576,皮鞋,pi2 xie2,leather shoes,HSK 3,Week04_Lesson01,69,noun,
577,脚,jiao3,foot,HSK 3,Week04_Lesson01,69,noun,
578,年轻,nian2 qing1,young,HSK 3,Week04_Lesson01,69,adjective,
579,衬衫,chen4 shan1,shirt,HSK 3,Week04_Lesson01,69,noun,
580,裤子,ku4 zi5,pants,HSK 3,Week04_Lesson01,69,noun,
581,帽子,mao4 zi5,hat,HSK 3,Week04_Lesson01,69,noun,
582,才,cai2,only,HSK 3,Week04_Lesson01,69,adverb,
583,解决,jie3 jue2,to solve,HSK 3,Week04_Lesson01,69,verb,
584,拿,na2,to hold / to take,HSK 3,Week04_Lesson01,69,verb,
585,年级,nian2 ji2,grade,HSK 3,Week04_Lesson02,70,noun,
586,数学,shu4 xue2,maths,HSK 3,Week04_Lesson02,70,noun,
587,黑板,hei1 ban3,blackboard,HSK 3,Week04_Lesson02,70,noun,
588,明白,ming2 bai5,to understand / clear,HSK 3,Week04_Lesson02,70,verb/adj,
589,班,ban1,class / shift / duty,HSK 3,Week04_Lesson02,70,noun,
590,害怕,hai4 pa4,to be afraid of,HSK 3,Week04_Lesson02,70,adjective,
591,差,cha4,to differ from / to fall short of / poor,HSK 3,Week04_Lesson02,70,verb/adj,
592,为了,wei4 le5,in order to / for the sake of,HSK 3,Week04_Lesson02,70,preposition,
593,地,de5,part. to form adverbial adjunct,HSK 3,Week04_Lesson02,70,auxiliary,
594,回答,hui2 da2,to answer,HSK 3,Week04_Lesson03,71,verb,
595,关于,guan1 yu2,about / with respect to,HSK 3,Week04_Lesson03,71,preposition,
596,黄河,Huang2 he2,Yellow River,HSK 3,Week04_Lesson03,71,noun,
597,历史,li4 shi3,history,HSK 3,Week04_Lesson03,71,noun,
598,聪明,cong1 ming2,smart,HSK 3,Week04_Lesson03,71,adjective,
599,文化,wen2 hua4,culture,HSK 3,Week04_Lesson03,71,noun,
600,讲,jiang3,to tell,HSK 3,Week04_Lesson03,71,verb,
601,故事,gu4 shi5,story,HSK 3,Week04_Lesson03,71,noun,
602,夏,xia4,summer,HSK 3,Week04_Lesson03,71,noun,
603,花,hua1,flower,HSK 3,Week04_Lesson04,72,noun,
604,鸟,niao3,bird,HSK 3,Week04_Lesson04,72,noun,
605,马,ma3,horse,HSK 3,Week04_Lesson04,72,noun,
606,画,hua4,to paint / painting,HSK 3,Week04_Lesson04,72,v/n,
607,叔叔,shu1 shu5,uncle,HSK 3,Week04_Lesson04,72,noun,
608,位,wei4,MW: people,HSK 3,Week04_Lesson04,72,mw,
609,影响,ying3 xiang3,to influence / impact,HSK 3,Week04_Lesson04,72,v/n,
610,热情,re4 qing2,enthusiastic,HSK 3,Week04_Lesson04,72,adjective,
611,船,chuan2,ship / boat,HSK 3,Week04_Lesson05,73,noun,
612,习惯,xi2 guan4,to be used to / habit,HSK 3,Week04_Lesson05,73,v/n,
613,蓝,lan2,blue,HSK 3,Week04_Lesson05,73,adjective,
614,树,shu4,tree,HSK 3,Week04_Lesson05,73,noun,
615,草,cao3,grass,HSK 3,Week04_Lesson05,73,noun,
616,经过,jing1 guo4,to pass / to go through,HSK 3,Week04_Lesson05,73,verb,
617,城市,cheng2 shi4,city,HSK 3,Week04_Lesson05,73,noun,
618,甜,tian2,sweet,HSK 3,Week04_Lesson05,73,adjective,
619,胖,pang4,fat,HSK 3,Week04_Lesson05,73,adjective,
620,公斤,gong1 jin1,MW: kilogram,HSK 3,Week04_Lesson05,73,mw,
621,后来,hou4 lai2,afterwards / later,HSK 3,Week04_Lesson05,73,noun,
622,离开,li2 kai1,to leave / to depart,HSK 3,Week04_Lesson05,73,verb,
623,越来越 (adj),yue4 lai2 yue4 (adj),more and more (adj),HSK 3,Week04_Lesson05,73,adverb,
624,奶奶,nai3 nai5,grandmother,HSK 3,Week05_Lesson01,74,noun,
625,多么,duo1 me5,such,HSK 3,Week05_Lesson01,74,adverb,
626,长 (verb),zhang3,to grow,HSK 3,Week05_Lesson01,74,verb,
627,别人,bie2 ren2,other people,HSK 3,Week05_Lesson01,74,pronoun,
628,极,ji2,extremely,HSK 3,Week05_Lesson01,74,adverb,
629,脸,lian3,face,HSK 3,Week05_Lesson01,74,noun,
630,鼻子,bi2 zi5,nose,HSK 3,Week05_Lesson01,74,noun,
631,嘴,zui3,mouth,HSK 3,Week05_Lesson01,74,noun,
632,可爱,ke3 ai4,cute,HSK 3,Week05_Lesson01,74,adjective,
633,同意,tong2 yi4,to agree,HSK 3,Week05_Lesson01,74,verb,
634,老,lao3,old,HSK 3,Week05_Lesson01,74,adjective,
635,还是,hai2 shi4,still,HSK 3,Week05_Lesson01,74,adverb,
636,刚才,gang1 cai2,just now,HSK 3,Week05_Lesson02,75,unknown,
637,个子,ge4 zi5,height (people),HSK 3,Week05_Lesson02,75,noun,
638,矮,ai3,short,HSK 3,Week05_Lesson02,75,adjective,
639,头发,tou2 fa5,hair,HSK 3,Week05_Lesson02,75,noun,
640,条,tiao2,MW: a piece of (clothing),HSK 3,Week05_Lesson02,75,mw,
641,绿,lv4,green,HSK 3,Week05_Lesson02,75,adjective,
642,裙子,qun2 zi5,skirt,HSK 3,Week05_Lesson02,75,noun,
643,忘记,wang4 ji4,to forget,HSK 3,Week05_Lesson02,75,verb,
644,留学,liu2 xue2,to go abroad,HSK 3,Week05_Lesson02,75,verb,
645,留学生,liu2 xue2 sheng1,international student,HSK 3,Week05_Lesson02,75,noun,
646,想起,xiang3 qi3,to remember,HSK 3,Week05_Lesson02,75,verb,
647,比较,bi3 jiao4,fairly / quite,HSK 3,Week05_Lesson03,76,adverb,
648,关心,guan1 xin1,to care,HSK 3,Week05_Lesson03,76,verb,
649,空调,kong1 tiao2,air conditioning,HSK 3,Week05_Lesson03,76,noun,
650,冰箱,bing1 xiang1,refrigerator,HSK 3,Week05_Lesson03,76,noun,
651,其他,qi2 ta1,other,HSK 3,Week05_Lesson03,76,pronoun,
652,要求,yao1 qiu2,to request / request,HSK 3,Week05_Lesson03,76,v/n,
653,需要,xu1 yao4,to need,HSK 3,Week05_Lesson03,76,verb,
654,客人,ke4 ren2,customer,HSK 3,Week05_Lesson03,76,noun,
655,邻居,lin2 ju1,neighbour,HSK 3,Week05_Lesson03,76,noun,
656,久,jiu3,long (period of time),HSK 3,Week05_Lesson04,77,adjective,
657,搬,ban1,to move out,HSK 3,Week05_Lesson04,77,verb,
658,旧,jiu4,old,HSK 3,Week05_Lesson04,77,adjective,
659,主要,zhu3 yao4,major / main,HSK 3,Week05_Lesson04,77,adjective,
660,洗手间,xi3 shou3 jian1,toilet / lavatory,HSK 3,Week05_Lesson04,77,noun,
661,口,kou3,mouth,HSK 3,Week05_Lesson04,77,noun,
662,刷牙,shua1 ya2,to brush teeth,HSK 3,Week05_Lesson04,77,verb,
663,洗澡,xi3 zao3,to take a shower,HSK 3,Week05_Lesson04,77,verb,
664,满意,man3 yi4,to satisfy,HSK 3,Week05_Lesson04,77,verb,
665,除了,chu2 le5,except for,HSK 3,Week05_Lesson04,77,preposition,
666,电梯,dian4 ti1,elevator,HSK 3,Week05_Lesson04,77,noun,
667,欢迎,huan1 ying2,to welcome,HSK 3,Week05_Lesson04,77,verb,
668,层,ceng2,mw: level (of stairs),HSK 3,Week05_Lesson04,77,mw,
669,渴,ke3,thirsty,HSK 3,Week05_Lesson05,78,adjective,
670,楼,lou2,floor,HSK 3,Week05_Lesson05,78,noun,
671,聊天儿,liao2 tianr1,to chat,HSK 3,Week05_Lesson05,78,verb,
672,安静,an1 jing4,quiet,HSK 3,Week05_Lesson05,78,adjective,
673,舒服,shu1 fu5,comfortable,HSK 3,Week05_Lesson05,78,adjective,
674,面包,mian4 bao1,bread,HSK 3,Week05_Lesson05,78,noun,
675,蛋糕,dan4 gao1,cake,HSK 3,Week05_Lesson05,78,noun,
676,新鲜,xin1 xian1,fresh,HSK 3,Week05_Lesson05,78,adjective,
677,相信,xiang4 xin4,to trust,HSK 3,Week05_Lesson05,78,verb,
678,尝,chang2,to taste / to try the flavour of,HSK 3,Week05_Lesson05,78,verb,
679,终于,zhong1 yu2,finally,HSK 3,Week06_Lesson01,79,adverb,
680,把,ba3,part. to convey meaning of disposal,HSK 3,Week06_Lesson01,79,preposition,
681,打扫,da3 sao3,to clean,HSK 3,Week06_Lesson01,79,verb,
682,干净,gan1 jing4,clean,HSK 3,Week06_Lesson01,79,adjective,
683,最后,zui4 hou4,last,HSK 3,Week06_Lesson01,79,noun,
684,香蕉,xiang1 jiao1,banana,HSK 3,Week06_Lesson01,79,noun,
685,半,ban4,half,HSK 3,Week06_Lesson01,79,adjective,
686,饱,bao3,full,HSK 3,Week06_Lesson01,79,adjective,
687,盘子,pan2 zi5,plate,HSK 3,Week06_Lesson01,79,noun,
688,叫外卖,jiao4 wai4 mai4,to order take-out food,HSK 3,Week06_Lesson02,80,verb,
689,"不但..., 而且...","bu2 dan4..., er2 qie3...",not only ... but also ... ,HSK 3,Week06_Lesson02,80,conjunction,
690,饿,e4,hungry,HSK 3,Week06_Lesson02,80,adjective,
691,碗,wan3,bowl,HSK 3,Week06_Lesson02,80,noun,
692,啤酒,pi2 jiu3,beer,HSK 3,Week06_Lesson02,80,noun,
693,筷子,kuai4 zi5,chopstick,HSK 3,Week06_Lesson02,80,noun,
694,奇怪,qi2 guai4,weird,HSK 3,Week06_Lesson02,81,adjective,
695,清楚,qing1 chu5,clear / straightforward / to understand,HSK 3,Week06_Lesson02,81,adj/verb,
696,词典,ci2 dian3,dictionary,HSK 3,Week06_Lesson02,81,noun,
697,借,jie4,to borrow,HSK 3,Week06_Lesson02,81,verb,
698,马上,ma3 shang4,immediately / at once,HSK 3,Week06_Lesson02,81,adverb,
699,还,huan2,to return / to give back,HSK 3,Week06_Lesson02,81,verb,
